,대분류,소분류,세분류,,,묶음1,묶음2,태그,설명,세분류,Not-so-sure,
,(1) 체언,명사(NN),일반명사(NNG),,,체언(N),NN,NNG,보통 명사,일반명사(NNG),,
,,,고유명사(NNP),,,,,NNP,고유 명사,고유명사(NNP),,
,,,의존명사(NNB),,,,,"NNB, NNM","일반 의존 명사, 단위 의존 명사",의존명사(NNB),,
,,대명사(NP),대명사(NP),,,,NP,NP,대명사,대명사(NP),,
,,수사(NR),수사(NR),,,,NR,NR,수사,수사(NR),,
,(2) 용언,동사(VV),동사(VV),,,용언(V),VV,VV,동사,동사(VV),,
,,형용사(VA),형용사(VA),,,,VA,VA,형용사,형용사(VA),,
,,보조용언(VX),보조용언(VX),,,,VX,"VXV, VXA, VX","보조 동사, 보조 형용사",보조용언(VX),,
,,지정사(VC),긍정지정사(VCP),,,,VC,VCP,"긍정 지정사, 서술격 조사 '이다'",긍정지정사(VCP),,
,,,부정지정사(VCN),,,,,VCN,"부정 지정사, 형용사 '아니다'",부정지정사(VCN),,
,(3) 수식언,관형사(MM),"관형사(MM), 성상 관형사(MMA), 지시 관형사(MMD), 수 관형사(MMN)",,,관형사(M),MD,MDT,일반 관형사,"관형사(MM), 성상 관형사(MMA), 지시 관형사(MMD), 수 관형사(MMN)",*,
,,,,,,,,MDN,수 관형사,,*,
,,부사(MA),일반부사(MAG),,,부사,MA,MAG,일반 부사,일반부사(MAG),,
,,,접속부사(MAJ),,,,,MAC,접속 부사,접속부사(MAJ),,
,(4) 독립언,감탄사(IC),감탄사(IC),,,감탄사(I),IC,IC,감탄사,감탄사(IC),,
,(5) 관계언,격조사(JK),주격조사(JKS),,,조사(J),JK,JKS,주격 조사,주격조사(JKS),,
,,,보격조사(JKC),,,,,JKC,보격 조사,보격조사(JKC),,
,,,관형격조사(JKG),,,,,JKG,관형격 조사,관형격조사(JKG),,
,,,목적격조사(JKO),,,,,JKO,목적격 조사,목적격조사(JKO),,
,,,부사격조사(JKB),,,,,JKM,부사격 조사,부사격조사(JKB),,
,,,호격조사(JKV),,,,,JKI,호격 조사,호격조사(JKV),,
,,,인용격조사(JKQ),,,,,JKQ,인용격 조사,인용격조사(JKQ),,
,,보조사(JX),보조사(JX),,,,JX,JX,보조사,보조사(JX),,
,,접속조사(JC),접속조사(JC),,,,JC,JC,접속 조사,접속조사(JC),,
,(6) 의존형태,어미(EM),선어말어미(EP),,,선어말 어미(E),EP,"EPH, EPT, EPP","존칭 선어말 어미, 시제 선어말 어미, 공손 선어말 어미",선어말어미(EP),,
,,,종결어미(EF),,,어말 어미,EF,"EFN, EFQ, EFO, EFA, EFI, EFR","평서형 종결 어미, 의문형 종결 어미, 명령형 종결 어미, 청유형 종결 어미, 감탄형 종결 어미, 존칭형 종결 어미",종결어미(EF),,
,,,연결어미(EC),,,,EC,"ECE, ECD, ECS","대등 연결 어미, 의존적 연결 어미, 보조적 연결 어미",연결어미(EC),,
,,,명사형전성어미(ETN),,,,ET,ETN,명사형 전성 어미,명사형전성어미(ETN),,
,, ,관형형전성어미(ETM),,,,,ETD,관형형 전성 어미,관형형전성어미(ETM),,
,,접두사(XP),체언접두사(XPN),,,접두사(X),XP,XPN,체언 접두사,체언접두사(XPN),,
,,,,,,,,XPV,용언 접두사,,,
  ,,접미사(XS),명사파생접미사(XSN),,,접미사,XS,XSN,명사 파생 접미사,명사파생접미사(XSN),,
,,,동사파생접미사(XSV),,,,,XSV,동사 파생 접미사,동사파생접미사(XSV),,
,,,형용사파생접미사(XSA),,,,,XSA,형용사 파생 접미사,형용사파생접미사(XSA),,
,,,,,,,,XSM,부사 파생 접미사,,,
,,,,,,,,XSO,기타 접미사,,,
,,어근(XR),어근(XR),,,어근,XR,XR,어근,어근(XR),,
,(7) 기호,일반기호(ST),"마침표, 물음표, 느낌표(SF)",,,부호(S),SF,SF,"마침표물음표,느낌표","마침표, 물음표, 느낌표(SF)",,
,,,"쉼표, 가운뎃점, 콜론, 빗금(SP)",,,,SP,SP,"쉼표,가운뎃점,콜론,빗금","쉼표, 가운뎃점, 콜론, 빗금(SP)",,
,,,"따옴표, 괄호표, 줄표(SS)",,,,SS,SS,"따옴표,괄호표,줄표","따옴표, 괄호표, 줄표(SS)",,
,,,줄임표(SE),,,,SE,SE,줄임표,줄임표(SE),,
,,,붙임표(물결)(SO),,,,SO,SO,"붙임표(물결,숨김,빠짐)",붙임표(물결)(SO),,
,,,기타 기호(SW),,,,SW,SW,"기타기호 (논리수학기호,화폐기호)",기타 기호(SW),,
,,외국어(SL),외국어(SL),,,한글 이회(O),OL,OL,외국어,외국어(SL),,
,,한자(SH),한자(SH),,,,OH,OH,한자,한자(SH),,
,,숫자(SN),숫자(SN),,,,ON,ON,숫자,숫자(SN),,
,,분석불능범주(NA),"NA, NF, NV",,,분석 불능(U),"UN, UV, UE","UN, UV, UE","명사추정범주, 용언추정범주, 분석불능범주",분석불능범주(NR),*,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,, ,,,,,,,,,,
,,,,,,,,,,,,
,, ,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,, ,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,, ,,,,,,,,,,
